ROI_original,ROI_rename,ROI_abbr,coefficient:Age_base,pvalue:Age_base,coefficient:Age_interval,pvalue:Age_interval,coefficient:Motion,pvalue:Motion,coefficient:Sex,pvalue:Sex,coefficient:Rescan,pvalue:Rescan
Right-OCP---occipital-pole,Right Occipital Pole,R. Occipital Pole,0.217302375781991,9.904227168066683e-39,0.861542057915119,1.9424693378915694e-153,0.357309364554297,0.0021462101237276,0.301815714256792,4.2789574560149475e-09,0.07959869358176,1.0172725336859192e-06
Left-OCP---occipital-pole,Left Occipital Pole,L. Occipital Pole,0.119718687428355,2.5853143278039703e-12,0.768421920184242,4.964459327636955e-90,0.523933082710903,0.0001273439623911,0.11499988704959,0.0416795086594864,0.0629831786304434,0.0017889134894008
Right-OFuG--occipital-fusiform-gyrus,Right Occipital Fusiform Gyrus,R. Occipital Fusiform Gyrus,0.313736466384643,1.5418705672367586e-79,0.673697966643766,5.71121227282589e-119,0.322913249044667,0.0020770034259129,0.224176614845355,5.709383733115857e-06,0.067722277171339,3.529363463185444e-06
Left-OFuG--occipital-fusiform-gyrus,Left Occipital Fusiform Gyrus,L. Occipital Fusiform Gyrus,0.309299175115752,7.62640074800459e-79,0.804049253590075,4.172833486269965e-184,0.188685811439379,0.0593233017507063,0.265291417037501,5.06840780048755e-08,0.0442073406383658,0.0017889134894008
Right-OpIFG-opercular-part-of-the-IFG,Right Opercular Part of the Inferior Frontal Gyrus,R. Opercular Pt.  the IFG,0.19968187513998,1.92720108108102e-26,0.913328812347837,1.6888777238592454e-184,-0.457350768237491,1.0419803173498644e-05,,,,
Left-OpIFG-opercular-part-of-the-IFG,Left Opercular Part of the Inferior Frontal Gyrus,L. Opercular Pt.  the IFG,0.148434971370655,2.0698953170283866e-15,0.893340561704456,1.2342896673543784e-169,-0.247443235459466,0.0252114488089098,,,,
Right-OrIFG-orbital-part-of-the-IFG,Right Orbital Part of the Inferior Frontal Gyrus,R. Orbital Pt.  the IFG,0.167603007448343,3.154870138591543e-20,0.799340134290149,1.2529061889922551e-105,0.449752813382922,0.0005746213094837,,,0.0374025664768359,0.0701744729049791
Left-OrIFG-orbital-part-of-the-IFG,Left Orbital Part of the Inferior Frontal Gyrus,L. Orbital Pt.  the IFG,0.176710328717927,1.6005720177380472e-23,0.71185629862417,4.3645702654643575e-77,0.53526958956025,9.727644511951386e-05,,,0.0374669497705036,0.0863567644327229
Right-PCgG--posterior-cingulate-gyrus,Right Posterior Cingulate Gyrus,R. Post. Cingulate Gyrus,0.123397710927633,3.9703978383500183e-13,0.844373348393743,4.465856793620879e-91,0.463787598580741,0.0021462101237276,0.108617885119575,0.0491814859196132,0.0628868961460166,0.0053931227079428
Left-PCgG--posterior-cingulate-gyrus,Left Posterior Cingulate Gyrus,L. Post. Cingulate Gyrus,0.0780912086476477,5.180813190527468e-06,0.838782139476716,3.538001259143865e-89,0.313104094902465,0.0413647082117061,0.112554660878451,0.045021501696835,0.0525357458163752,0.0225311147843823
Right-PCu---precuneus,Right Precuneus,R. Precuneus,0.294866888830892,1.1931827385682769e-63,0.798800207233525,3.298939887269822e-166,-0.290638710991306,0.0048383760946052,,,0.0349493151340276,0.0220995493841664
