ROI_original,ROI_rename,ROI_abbr,coefficient:Age_base,pvalue:Age_base,coefficient:Age_interval,pvalue:Age_interval,coefficient:Motion,pvalue:Motion,coefficient:Sex,pvalue:Sex,coefficient:Rescan,pvalue:Rescan
ANGULAR_GYRUS_right,Right Angular Gyrus,R. Angular Gyrus,0.150356128574446,1.3150625778711907e-14,0.270733768272563,8.883417839097582e-18,-0.273520128824182,0.0319076328063034,0.11491792079656,0.0694422078092563,0.0385045947741181,0.0394842944810457
PRE-CUNEUS_right,Right Precuneus,R. Precuneus,0.157326708878575,4.307934519862369e-18,0.829830388412814,6.549522996606459e-153,-0.209371452363654,0.0829886405526204,,,,
CUNEUS_right,Right Cuneus,R. Cuneus,0.241349752679376,4.361789527466338e-45,1.06065853619896,0.0,-0.471222348707225,5.449489534383497e-07,0.136925679058372,0.0088690724555245,0.0357082322059054,0.0162944840045615
LINGUAL_GYRUS_right,Right Lingual Gyrus,R. Lingual Gyrus,0.155846713946894,5.092479809550672e-21,0.994809045300895,1.465021652402981e-198,0.231826705270437,0.0650798192004833,0.214494056836059,3.206111557145048e-05,,
FUSIFORM_GYRUS_right,Right Fusiform Gyrus,R. Fusiform Gyrus,0.162737000104378,1.539663907179185e-20,0.785681204200255,4.677960686233472e-100,0.926384777048604,1.3312214835388089e-12,0.200424634549731,0.0002148175196301,-0.0343380800608071,0.1364273699100326
PARAHIPPOCAMPAL_GYRUS_right,Right Parahippocampal Gyrus,R. Parahippocampal Gyrus,-0.109264023036163,8.4609725662735e-09,-0.11065941215211,0.0007395788553949,,,,,-0.0720365691209792,2.675013938060093e-05
SUPERIOR_OCCIPITAL_GYRUS_right,Right Superior Occipital Gyrus,R. Sup. Occipital Gyrus,0.175659599425765,2.7396618869358453e-21,0.644304913216742,1.3319047494748145e-134,-0.444732998798674,1.6810807880034346e-06,,,0.0336567964468107,0.022809194695509
INFERIOR_OCCIPITAL_GYRUS_right,Right Inferior Occipital Gyrus,R. Inf. Occipital Gyrus,0.125881093869271,4.576083910693349e-12,0.505172965089861,2.649726658844025e-62,0.597150147868039,3.445844597121111e-08,0.180064513273565,0.0016814597511412,0.0444449243739603,0.0096737386942452
MIDDLE_OCCIPITAL_GYRUS_right,Right Middle Occipital Gyrus,R. Mid. Occipital Gyrus,0.225181990283314,2.718010563837352e-36,0.725975320660128,1.0560564240118538e-173,,,0.229740577331717,3.493402633034407e-05,0.0347955814881938,0.0096737386942452
ENTORHINAL_AREA_right,Right Entorhinal Area,R. Entorhinal Area,0.0778024467405515,4.070009619752962e-05,0.634241792122639,1.668296625396874e-39,,,0.156076880585465,0.0062850625081821,,
SUPERIOR_TEMPORAL_GYRUS_right,Right Superior Temporal Gyrus,R. Sup. Temp. Gyrus,0.247077665632268,7.991275008239357e-41,,,,,,,,
INFERIOR_TEMPORAL_GYRUS_right,Right Inferior Temporal Gyrus,R. Inf. Temp. Gyrus,0.0604384606697756,0.0013162231652728,0.341339199128819,9.129531183695536e-18,2.21148468960484,1.76578305928884e-59,0.108553094303262,0.063337526258251,-0.0505678345647712,0.0355997522567891
MIDDLE_TEMPORAL_GYRUS_right,Right Middle Temporal Gyrus,R. Mid. Temp. Gyrus,-0.0529633054219847,0.0108883796994114,0.228647451487324,8.593977373495201e-11,0.871498982417042,3.90127324326155e-13,-0.17729838085812,0.0046174802944127,,
LATERAL_FRONTO-ORBITAL_GYRUS_right,Right Lateral Fronto-orbital Gyrus,R. Lat. Forb. Gyrus,,,0.456990982338338,1.383803938618778e-31,2.01142491753921,2.2511519078992092e-51,-0.187809663287399,0.0005471015748811,-0.102322981950154,3.371797550586405e-06
MIDDLE_FRONTO-ORBITAL_GYRUS_right,Right Middle Fronto-orbital Gyrus,R. Mid. Forb. Gyrus,,,0.645917392644244,1.1890450813238113e-56,1.74238327065486,4.4536207878366174e-36,,,-0.0677910260529128,0.0042712887318812
SUPRAMARGINAL_GYRUS_right,Right Supramarginal Gyrus,R. Supramarginal Gyrus,0.251367083155083,4.377118744016267e-38,0.284016566514995,1.6566411172911896e-21,-0.23864021327889,0.0506082656725048,0.173199907061687,0.0042571889030005,0.0659831138743583,5.219580734678396e-05
GYRUS_RECTUS_right,Right Gyrus Rectus,R. Gyrus Rectus,0.163014052913139,9.777833768808651e-21,0.787295811746635,1.2089002654717444e-88,0.818147693691907,5.191472015381451e-09,0.211143315014417,8.593473132185371e-05,-0.0615939961586566,0.0064895343250785
INSULAR_right,Right Insular,R. Insular,-0.128734819820953,1.6011273237234213e-12,1.27585966051208,1.5020688648520185e-208,,,,,,
AMYGDALA_right,Right Amygdala,R. Amygdala,,,0.483358099943809,5.497039777418871e-30,,,0.361503194491728,9.68357651946405e-12,-0.0514677526843866,0.0390875675809921
HIPPOCAMPUS_right,Right Hippocampus,R. Hippocampus,,,0.279425580329616,3.1278452748813666e-10,,,0.227655605366846,3.757630117928031e-05,0.0984579683824766,4.742185730382246e-05
CEREBELLUM_right,Right Cerebellum,R. Cerebellum,,,0.389151368364438,3.538658470471396e-23,1.15443443884978,8.978467988223958e-17,0.462660900198315,2.249360855340162e-16,0.0624797439584014,0.0064779533023858
Corticospinal_tract_right,Right Corticospinal Tract,R. Corticospinal Tract,0.0481544035865136,0.0190003807282902,,,,,0.258738756006943,3.035289238443416e-05,,
